Trial,Min Score,Max Score,Average Score,Std Dev,Reached 1000
1,17.0,271.0,155.44,40.82,0.0
2,13.0,190.0,117.58,47.01,0.0
3,11.0,468.0,133.74,108.16,0.0
4,131.0,304.0,202.04,34.52,0.0
5,12.0,410.0,135.16,87.29,0.0
6,17.0,653.0,270.08,113.15,0.0
7,24.0,473.0,168.38,59.06,0.0
8,28.0,336.0,138.94,46.38,0.0
9,13.0,325.0,198.7,74.22,0.0
10,11.0,1000.0,184.96,229.79,1.0
11,21.0,329.0,165.24,59.52,0.0
12,14.0,365.0,170.08,64.47,0.0
13,11.0,613.0,201.46,79.32,0.0
14,92.0,1000.0,256.42,132.33,1.0
15,17.0,239.0,146.62,41.47,0.0
16,15.0,360.0,186.68,64.13,0.0
17,16.0,1000.0,521.88,357.3,1.0
18,18.0,264.0,129.46,45.62,0.0
19,15.0,367.0,206.68,61.04,0.0
20,12.0,222.0,160.82,37.18,0.0
21,13.0,376.0,179.06,69.48,0.0
22,8.0,185.0,128.06,37.48,0.0
23,11.0,521.0,163.12,107.72,0.0
24,14.0,1000.0,216.26,206.36,1.0
25,12.0,340.0,155.6,75.67,0.0
26,15.0,238.0,153.78,44.29,0.0
27,22.0,328.0,185.72,66.29,0.0
28,31.0,188.0,120.8,35.07,0.0
29,16.0,368.0,201.52,68.18,0.0
30,12.0,357.0,192.46,61.76,0.0
31,11.0,272.0,165.08,82.09,0.0
32,9.0,318.0,110.86,67.25,0.0
33,11.0,694.0,174.6,102.17,0.0
34,20.0,1000.0,281.84,225.79,1.0
35,30.0,220.0,157.76,48.13,0.0
36,18.0,267.0,164.82,54.56,0.0
37,12.0,948.0,185.56,129.17,0.0
38,21.0,316.0,162.28,67.33,0.0
39,18.0,446.0,233.2,94.89,0.0
40,10.0,1000.0,223.1,204.04,1.0
41,11.0,146.0,91.06,42.75,0.0
42,20.0,210.0,140.06,39.82,0.0
43,16.0,581.0,220.76,130.1,0.0
44,22.0,394.0,149.04,94.47,0.0
45,12.0,215.0,116.84,44.34,0.0
46,14.0,1000.0,177.82,182.96,1.0
47,26.0,725.0,294.16,156.42,0.0
48,31.0,306.0,150.82,60.39,0.0
49,15.0,307.0,166.44,51.94,0.0
50,10.0,201.0,141.88,43.15,0.0
Average,19.98,453.12,181.09,89.54,0.14
