Trial,Min Score,Max Score,Average Score,Std Dev,Reached 500
1,11.0,500.0,233.46,110.61,1.0
2,11.0,500.0,188.2,112.27,1.0
3,16.0,262.0,117.78,57.89,0.0
4,13.0,250.0,108.52,53.42,0.0
5,11.0,500.0,186.38,125.81,1.0
6,12.0,312.0,108.66,70.58,0.0
7,26.0,500.0,227.88,146.77,1.0
8,10.0,500.0,113.8,100.29,1.0
9,21.0,253.0,151.36,56.58,0.0
10,35.0,427.0,168.16,67.79,0.0
11,25.0,500.0,212.34,108.82,1.0
12,15.0,500.0,156.6,89.63,1.0
13,44.0,500.0,286.24,162.54,1.0
14,11.0,324.0,133.66,85.64,0.0
15,37.0,380.0,219.7,71.98,0.0
16,9.0,160.0,102.4,49.23,0.0
17,16.0,187.0,100.58,45.2,0.0
18,12.0,437.0,137.0,74.63,0.0
19,16.0,333.0,139.0,51.31,0.0
20,12.0,500.0,148.94,120.26,1.0
21,14.0,202.0,97.14,52.16,0.0
22,10.0,243.0,117.64,49.63,0.0
23,13.0,157.0,124.36,30.69,0.0
24,61.0,244.0,162.76,30.11,0.0
25,16.0,368.0,171.58,85.13,0.0
26,10.0,411.0,120.94,69.28,0.0
27,15.0,484.0,174.24,103.36,0.0
28,15.0,500.0,205.98,134.31,1.0
29,10.0,421.0,119.78,107.09,0.0
30,12.0,500.0,146.76,115.91,1.0
31,13.0,500.0,132.1,103.43,1.0
32,11.0,297.0,95.08,71.0,0.0
33,15.0,500.0,195.82,123.78,1.0
34,13.0,398.0,124.84,70.98,0.0
35,29.0,312.0,116.6,48.39,0.0
36,15.0,500.0,98.58,74.98,1.0
37,16.0,500.0,214.22,162.79,1.0
38,13.0,307.0,149.82,63.11,0.0
39,13.0,277.0,101.08,61.36,0.0
40,16.0,329.0,134.22,68.82,0.0
41,13.0,235.0,156.52,67.87,0.0
42,12.0,500.0,175.04,116.11,1.0
43,19.0,210.0,120.74,39.97,0.0
44,11.0,500.0,214.96,107.38,1.0
45,8.0,192.0,118.84,47.87,0.0
46,14.0,338.0,214.48,60.0,0.0
47,20.0,500.0,180.68,81.37,1.0
48,15.0,150.0,87.0,37.7,0.0
49,13.0,500.0,174.62,128.45,1.0
50,12.0,500.0,206.6,140.82,1.0
Average,16.6,378.0,153.87,84.3,0.4
